297050-297055	25076	0-0
297056-297056	12196	0-0
297057-297098	48560	0-0
297099-297100	35496	0-0
297101-297112	65583	0-0
297113-297113	24072	0-0
297114-297174	15120	0-0
297175-297214	26626	0-0
297215-297223	212449	0-0
297224-297291	14165	0-0
297292-297292	86868	0-0
297293-297295	14490	0-0
297296-297307	45589	0-0
297308-297423	116614	0-0
297424-297424	15257	0-0
297425-297425	20261	0-0
297426-297428	13697	0-0
297429-297430	35763	0-0
297431-297431	22060	0-0
297432-297432	13011	0-0
297433-297433	17415	0-0
297434-297434	16959	0-0
297435-297467	22527	0-0
297468-297468	10939	0-0
297469-297483	33394	0-0
297484-297484	29864	0-0
297485-297485	53381	0-0
297486-297486	70226	0-0
297487-297487	55871	0-0
297488-297502	32595	0-0
297503-297503	99868	0-0
297504-297556	48497	0-0
297557-297557	50119	0-0
297558-297561	36181	0-0
297562-297562	36031	0-0
297563-297598	26136	0-0
297599-297602	51423	0-0
297603-297603	57439	0-0
297604-297604	45754	0-0
297605-297605	37262	0-0
297606-297619	21215	0-0
297620-297655	42242	0-0
297656-297664	46468	0-0
297665-297665	32663	0-0
297666-297669	12357	0-0
297670-297674	26692	0-0
297675-297721	64226	0-0
297722-297722	43276	0-0
297723-298995	27955	0-0
298996-298996	13407	0-0
298997-299061	45870	0-0
299062-299063	34645	0-0
299064-299066	43394	0-0
299067-299095	41455	0-0
299096-299148	13272	0-0
299149-299177	59005	0-0
299178-299183	17311	0-0
299184-299184	70676	0-0
299185-299326	13874	0-0
299327-299367	30739	0-0
299368-299369	45317	0-0
299370-299379	79934	0-0
299380-299380	28783	0-0
299381-299395	28326	0-0
299396-299442	15460	0-0
299443-299476	10109	0-0
299477-299478	26321	0-0
299479-299479	17485	0-0
299480-299480	94936	0-0
299481-299592	111870	0-0
299593-299593	106562	0-0
299594-299594	36091	0-0
299595-299596	15083	0-0
299597-299648	51838	0-0
299649-300104	30814	0-0
300105-300106	12249	0-0
300107-300121	11601	0-0
300122-300122	169717	0-0
300123-300154	61630	0-0
300155-300155	164584	0-0
300156-300225	106962	0-0
300226-300232	62937	0-0
300233-300233	16262	0-0
300234-300235	35127	0-0
300236-300236	25598	0-0
300237-300237	91181	0-0
300238-300238	28032	0-0
300239-300239	17349	0-0
300240-300279	27773	0-0
300280-300280	78158	0-0
300281-300282	19100	0-0
300283-300363	83700	0-0
300364-300370	11104	0-0
300371-300388	17172	0-0
300389-300389	15295	0-0
300390-300395	10989	0-0
300396-300400	101369	0-0
300401-300458	69867	0-0
300459-300460	44438	0-0
300461-300461	13115	0-0
300462-300462	13351	0-0
300463-300463	17903	0-0
300464-300465	31759	0-0
300466-300466	71298	0-0
300467-300496	48800	0-0
300497-300513	20827	0-0
300514-300514	15382	0-0
300515-300515	133255	0-0
300516-300516	11569	0-0
300517-300557	44798	0-0
300558-300559	68403	0-0
300560-300573	81654	0-0
300574-300574	13565	0-0
300575-300630	163823	0-0
300631-300631	22678	0-0
300632-300634	68064	0-0
300635-300635	22948	0-0
300636-300673	145537	0-0
300674-300776	35972	0-0
300777-300779	73145	0-0
300780-300784	37712	0-0
300785-300805	123945	0-0
300806-300810	27079	0-0
300811-300811	77328	0-0
300812-300816	27735	0-0
300817-301045	55410	0-0
301046-301160	61786	0-0
301161-301164	59087	0-0
301165-301179	10738	0-0
301180-301280	35119	0-0
301281-301282	10597	0-0
301283-301297	70797	0-0
301298-301322	89423	0-0
301323-301329	95351	0-0
301330-301358	37040	0-0
301359-301383	32959	0-0
301384-301390	53615	0-0
301391-301391	20089	0-0
301392-301392	64503	0-0
301393-301397	59308	0-0
301398-301446	47640	0-0
301447-301447	43182	0-0
301448-301448	28393	0-0
301449-301449	28761	0-0
301450-301460	12011	0-0
301461-301471	58041	0-0
301472-301474	82841	0-0
301475-301518	66544	0-0
301519-301523	20448	0-0
301524-301528	24387	0-0
301529-301530	12137	0-0
301531-301531	29054	0-0
301532-301566	38882	0-0
301567-301626	37772	0-0
301627-301663	77671	0-0
301664-301664	41376	0-0
301665-301693	41323	0-0
301694-301911	10054	0-0
301912-301912	22987	0-0
301913-301940	25484	0-0
301941-301958	44341	0-0
301959-301959	165316	0-0
301960-301983	21634	0-0
301984-301984	31685	0-0
301985-301985	35096	0-0
301986-301986	31405	0-0
301987-301996	74361	0-0
301997-301997	37657	0-0
301998-302018	128841	0-0
302019-302030	16669	0-0
302031-302032	42464	0-0
302033-302040	15761	0-0
302041-302042	37322	0-0
302043-302130	12629	0-0
302131-302158	65317	0-0
302159-302164	95599	0-0
302165-302227	72225	0-0
302228-302228	22145	0-0
302229-302239	39636	0-0
302240-302261	80434	0-0
302262-302262	43857	0-0
302263-302276	98534	0-0
302277-302278	30910	0-0
302279-302327	11543	0-0
302328-302336	55842	0-0
302337-302341	12053	0-0
302342-302343	13247	0-0
302344-302349	41593	0-0
302350-302387	10238	0-0
302388-302391	73821	0-0
302392-302392	42409	0-0
302393-302447	92632	0-0
302448-302471	182136	0-0
302472-302472	90576	0-0
302473-302473	36058	0-0
302474-302474	26552	0-0
302475-302478	20503	0-0
302479-302483	39242	0-0
302484-302484	20122	0-0
302485-302491	101368	0-0
302492-302512	55968	0-0
302513-302524	13157	0-0
302525-302525	78350	0-0
302526-302547	52088	0-0
302548-302553	31536	0-0
302554-302572	33388	0-0
302573-302595	113382	0-0
302596-302596	102252	0-0
302597-302650	88852	0-0
302651-302653	17249	0-0
302654-302654	36584	0-0
