297050-297100	106395	1497646543-1497737235
297101-297214	103229	1497737544-1497905987
297215-297223	158112	1497966781-1498030231
297224-297295	86898	1498031764-1498120635
297296-297423	121505	1498121226-1498246342
297424-297433	104347	1498264989-1498293667
297434-297484	88454	1498293797-1498378205
297485-297502	162448	1498378661-1498428107
297503-297556	114154	1498442545-1498473570
297557-297562	91859	1498519281-1498551612
297563-297603	100296	1498551800-1498595669
297604-297655	109964	1498596272-1498651251
297656-297674	89868	1498671592-1498724752
297675-298995	102622	1498725418-1498782517
298996-299066	101959	1500017920-1500105276
299067-299183	99442	1500106373-1500211281
299184-299367	87411	1500212543-1500370314
299368-299379	102916	1500394290-1500423184
299380-299479	98467	1500431842-1500562980
299480-299480	72403	1500563270-1500579841
299481-299592	85226	1500580517-1500609818
299593-299594	110316	1500661423-1500687515
299595-300086	75576	1500688083-1500868142
300087-300154	197855	1501309546-1501408316
300155-300155	127678	1501440637-1501468214
300156-300225	83165	1501468420-1501496500
300226-300236	109825	1501520724-1501551877
300237-300239	106490	1501552096-1501581409
300240-300283	98001	1501582282-1501669831
300284-300393	99322	1501670136-1501791763
300394-300400	79949	1501792036-1501811238
300401-300461	97659	1501812181-1501858229
300462-300514	168444	1501858595-1501936772
300515-300515	102653	1501937218-1501960824
300516-300559	103944	1501961410-1502031449
300560-300575	78976	1502031795-1502077884
300576-300630	121455	1502078929-1502106902
300631-300635	87828	1502120179-1502140544
300636-300776	120554	1502142142-1502192520
300742-300776	150060	1502212137-1502218850
300777-300779	278170	1502254130-1502265427
300780-300784	161100	1502265681-1502273372
300785-300805	473485	1502275772-1502305422
300806-300810	103990	1502315285-1502319402
300811-300811	298765	1502319824-1502331476
300812-300816	106195	1502331923-1502336824
300817-301141	220910	1502337317-1502503195
301142-301160	214220	1502713236-1502734145
301161-301182	282860	1502746804-1502786628
301183-301282	136820	1502786852-1502841250
301283-301297	261840	1502841572-1502862177
301298-301322	331685	1502875026-1502896121
301323-301329	356525	1502907750-1502929972
301330-301358	138270	1502947951-1502955622
301359-301383	122950	1502968102-1502974714
301384-301390	199885	1502984615-1502995710
301391-301391	74350	1503006294-1503010295
301392-301396	256260	1503010632-1503028132
301397-301416	239600	1503028514-1503048728
301417-301446	145595	1503060421-1503067833
301447-301447	158740	1503142220-1503152116
301448-301448	104190	1503152403-1503159960
301449-301460	149405	1503160201-1503173653
301461-301471	213350	1503183714-1503196552
301472-301475	306670	1503238396-1503258688
301476-301518	241860	1503258833-1503278491
301519-301523	75215	1503321281-1503325790
301524-301529	104185	1503326720-1503337255
301530-301531	136860	1503337519-1503349616
301532-301566	143335	1503349978-1503364219
301567-301626	138765	1503391669-1503399974
301627-301663	285910	1503444177-1503464778
301664-301664	153000	1503491117-1503500551
301665-301693	152585	1503500870-1503512221
301694-301912	103565	1503548683-1503764531
301913-301940	91305	1503764813-1503774362
301941-301958	159905	1503826396-1503838861
301959-301959	597440	1503858272-1503902609
301960-301983	78865	1503902854-1503919681
301984-301984	114040	1503929658-1503936403
301985-301985	126690	1503936711-1503945019
301986-301986	115450	1503945269-1503954019
301987-301996	272015	1503954206-1503980499
301997-301997	136710	1503989775-1503998037
