297050-297100	81002	1497646592-1497737235
297101-297218	161105	1497737544-1497968399
297219-297223	139038	1497968766-1498030231
297224-297307	111394	1498031763-1498132669
297308-297425	104970	1498133368-1498271324
297426-297467	99259	1498271434-1498335752
297468-297485	89792	1498336135-1498388289
297486-297487	89391	1498388754-1498417732
297488-297504	97264	1498418229-1498464149
297505-297561	88644	1498464386-1498534505
297562-297603	116437	1498543129-1498595669
297604-297655	101291	1498596272-1498651251
297656-297674	81108	1498671592-1498724752
297675-299060	97964	1498725418-1500063645
299061-299095	107738	1500080597-1500117072
299096-299368	141809	1500132437-1500370314
299369-299380	98730	1500397499-1500436164
299381-299480	136946	1500436841-1500579841
299481-299592	80739	1500580517-1500609818
299593-299594	103061	1500661423-1500687515
299595-300106	70492	1500688083-1500868142
300107-300154	42362	1501333079-1501393566
300155-300155	117451	1501440637-1501468214
300156-300225	79062	1501468420-1501496500
300226-300236	99998	1501520724-1501551877
300237-300635	90294	1501552096-1502140257
300636-300741	119018	1502141023-1502192520
300742-300784	95255	1502212137-1502273372
300785-300810	107354	1502275772-1502319402
300811-301045	112455	1502319824-1502348809
301046-301182	93420	1502501788-1502786628
301183-301297	74250	1502786852-1502862177
301298-301329	127701	1502875026-1502929972
301330-301391	98274	1502947951-1503010295
301392-301416	92425	1503010632-1503048728
301417-301460	103855	1503060421-1503173653
301461-301475	95155	1503183714-1503258688
301476-301531	104574	1503258833-1503349616
301532-301663	106221	1503349978-1503464778
301664-301940	94901	1503491117-1503774362
301941-301959	140548	1503826396-1503902609
301960-301986	80683	1503902854-1503954019
301987-301997	75730	1503954206-1503998037
301998-302030	98942	1503998370-1504079281
302031-302158	120610	1504080508-1504203117
302159-302227	116356	1504226336-1504311581
302228-302261	100219	1504323070-1504372006
302262-302276	101009	1504409579-1504448829
302277-302336	109955	1504478863-1504592016
302337-302391	106401	1504603085-1504653328
302392-302447	97000	1504663125-1504692224
302448-302471	130077	1504731001-1504775353
302472-302473	90640	1504783693-1504810553
302474-302484	76188	1504811836-1504854625
302485-302508	112790	1504855043-1504894408
302509-302547	104260	1504912333-1504975623
302548-302595	126158	1505008819-1505070237
302596-302596	72782	1505100603-1505122250
302597-302634	111448	1505122509-1505193222
302635-302653	92213	1505193480-1505237610
302654-303824	86673	1505237878-1505273686
303825-303837	145674	1506238701-1506294879
303838-303884	155383	1506304101-1506350504
303885-303947	162463	1506366558-1506413015
303948-303997	139536	1506430053-1506467894
303998-304061	100300	1506495889-1506521105
