296168-296168	305	1496697781-1496698112	39-53
296172-296172	1	1496711528-1496711528	80-80
296173-296173	10001	1496711872-1496727251	1-660
296173-296174	2203	1496727253-1496731239	661-41
296880-296881	98	1497483022-1497484214	1-7
296887-296889	8007	1497500670-1497515437	28-24
296897-296900	3271	1497519076-1497522750	3-14
296966-296969	11566	1497567266-1497574240	22-68
296970-296971	8481	1497574357-1497579043	1-23
296972-296976	13304	1497579190-1497588261	1-160
296977-296977	10017	1497588829-1497595449	1-284
296977-296978	11275	1497595451-1497604763	285-147
296979-296980	4519	1497605029-1497608935	1-143
297003-297004	2888	1497618597-1497620365	5-5
297050-297050	10021	1497646543-1497652323	12-259
297050-297050	10056	1497652324-1497657545	260-483
297050-297050	10002	1497657545-1497662953	484-715
297050-297050	2451	1497662954-1497664375	716-776
297056-297056	9477	1497675705-1497680070	14-201
297057-297057	10045	1497680316-1497685560	1-225
297057-297057	10031	1497685562-1497691014	226-459
297057-297057	10033	1497691014-1497696910	460-712
297057-297057	7437	1497696912-1497701434	713-906
297099-297099	1768	1497727811-1497728333	40-62
297100-297100	10057	1497728479-1497731580	1-133
297100-297100	10005	1497731580-1497735006	134-280
297100-297100	6269	1497735006-1497737235	281-376
297101-297101	10008	1497737544-1497741017	1-149
297101-297101	10027	1497741018-1497744909	150-316
297101-297101	10037	1497744910-1497748920	317-488
297101-297101	10013	1497748920-1497753277	489-675
297101-297101	10035	1497753279-1497758174	676-885
297101-297101	1632	1497758174-1497758989	886-920
297113-297113	10069	1497789820-1497792774	2-128
297113-297113	8798	1497792775-1497795399	129-241
297114-297114	10070	1497795663-1497798763	1-133
297114-297114	2112	1497798763-1497799416	134-161
297175-297175	6077	1497899081-1497900809	1-75
297176-297176	10048	1497901337-1497904367	11-140
297176-297176	5347	1497904368-1497905987	141-210
297178-297178	10006	1497910146-1497913665	1-151
297178-297178	10030	1497913665-1497917441	152-313
297178-297178	10018	1497917442-1497921451	314-485
297178-297178	10051	1497921451-1497925692	486-667
297178-297178	10010	1497925694-1497930705	668-882
297178-297178	10007	1497930706-1497935927	883-1106
297178-297178	10011	1497935928-1497941778	1107-1357
297178-297178	762	1497941779-1497942245	1358-1378
297215-297218	5579	1497966781-1497968399	1-15
297219-297219	10023	1497968766-1497971469	1-116
297219-297219	10007	1497971470-1497974127	117-230
297219-297219	10026	1497974127-1497977018	231-354
297219-297219	10053	1497977018-1497980025	355-483
297219-297219	10015	1497980025-1497983149	484-617
297219-297219	10059	1497983149-1497986342	618-754
297219-297219	10023	1497986343-1497989629	755-895
297219-297219	10050	1497989629-1497993219	896-1049
297219-297219	10040	1497993220-1497997112	1050-1216
297219-297219	10044	1497997112-1498001236	1217-1393
297219-297219	10036	1498001258-1498005737	1394-1586
297219-297219	10008	1498005737-1498010539	1587-1792
297219-297219	10007	1498010539-1498015761	1793-2016
297219-297219	10010	1498015761-1498021471	2017-2261
297219-297219	10013	1498021472-1498027788	2262-2532
297219-297227	14276	1498027790-1498040171	2533-192
297292-297292	10007	1498099349-1498101725	1-102
297292-297292	10072	1498101726-1498104335	103-214
297292-297292	10063	1498104337-1498106853	215-322
297292-297292	10047	1498106856-1498109464	323-434
297292-297292	10071	1498109465-1498112168	435-550
297292-297292	10051	1498112169-1498115129	551-677
297292-297292	5726	1498115129-1498116805	678-749
297293-297293	10037	1498117292-1498120298	1-129
297293-297293	1154	1498120300-1498120635	130-144
297296-297296	10074	1498121226-1498124232	1-129
297296-297296	10006	1498124233-1498127356	130-263
297296-297296	10002	1498127357-1498130759	264-409
297296-297308	7714	1498130760-1498134230	410-44
297359-297359	4029	1498188638-1498191668	51-180
297411-297411	10096	1498224978-1498227463	34-140
297411-297411	10055	1498227464-1498229771	141-239
297411-297411	10043	1498229772-1498232125	240-340
297411-297411	10031	1498232126-1498234573	341-445
297411-297411	10049	1498234574-1498237231	446-559
297411-297411	10060	1498237231-1498239935	560-675
297411-297411	10017	1498239935-1498242825	676-799
297411-297411	10039	1498242826-1498245972	800-934
297411-297411	1160	1498245973-1498246342	935-950
297424-297424	10111	1498264989-1498267280	33-131
297424-297424	1790	1498267280-1498267657	132-148
297425-297425	10077	1498267777-1498269898	1-91
297425-297425	6117	1498269898-1498271324	92-153
297426-297426	10088	1498271434-1498273858	1-104
297426-297429	7603	1498273858-1498276349	105-71
297430-297430	10041	1498277026-1498279333	1-99
297430-297430	9921	1498279334-1498281665	100-199
297431-297431	10004	1498281786-1498284467	1-115
297431-297431	6519	1498284467-1498286085	116-185
297432-297432	9973	1498286182-1498288793	1-112
297433-297433	10036	1498290106-1498292762	1-114
297433-297433	3284	1498292763-1498293667	115-153
297434-297434	10037	1498293797-1498296616	1-121
297434-297435	10023	1498296617-1498299730	122-94
297467-297467	10042	1498333697-1498335655	50-133
297467-297468	9361	1498335656-1498337856	134-74
297469-297469	7342	1498338123-1498339754	1-70
297483-297483	10059	1498369071-1498371131	40-128
297483-297483	9276	1498371132-1498373085	129-212
297484-297484	10098	1498373235-1498375379	1-92
297484-297484	10079	1498375380-1498377454	93-181
297484-297484	2987	1498377454-1498378205	182-214
297485-297485	10071	1498378638-1498380828	1-94
297485-297485	10011	1498380829-1498383020	95-188
297485-297485	10031	1498383020-1498385373	189-289
297485-297485	10075	1498385374-1498387985	290-401
297485-297485	1259	1498387985-1498388289	402-415
297486-297486	10043	1498388754-1498391270	1-108
297486-297486	10081	1498391271-1498393741	109-214
297486-297486	10017	1498393742-1498396352	215-326
297486-297486	10008	1498396353-1498399103	327-444
297486-297486	10051	1498399103-1498402040	445-570
297486-297486	3754	1498402040-1498403268	571-623
297487-297487	10018	1498403676-1498406752	1-132
297487-297487	10043	1498406753-1498409783	133-262
297487-297487	10048	1498409784-1498413046	263-402
297487-297487	10010	1498413047-1498416682	403-558
297487-297487	2947	1498416683-1498417732	559-603
297488-297488	10004	1498418229-1498422050	1-164
297488-297488	10015	1498422051-1498425919	165-330
297488-297488	5060	1498425920-1498428107	331-424
297503-297503	10018	1498442545-1498444549	5-90
297503-297503	10043	1498444550-1498446624	91-179
297503-297503	10027	1498446624-1498448792	180-272
297503-297503	10071	1498448793-1498451123	273-372
297503-297503	10048	1498451124-1498453431	373-471
297503-297503	10044	1498453432-1498455948	472-579
297503-297503	10097	1498455949-1498458723	580-698
297503-297504	11617	1498458723-1498464149	699-135
297505-297505	10010	1498464386-1498467066	1-115
297505-297505	10021	1498467067-1498469794	116-232
297505-297505	10024	1498469795-1498472708	233-357
297505-297505	2884	1498472709-1498473570	358-394
297557-297557	10034	1498519281-1498522357	10-141
297557-297557	10033	1498522357-1498524548	142-235
297557-297557	10043	1498524549-1498526553	236-321
297557-297557	7797	1498526554-1498528181	322-391
297558-297558	10006	1498528581-1498530678	9-98
297558-297558	10011	1498530679-1498532870	99-192
297558-297558	7371	1498532870-1498534505	193-263
297562-297562	10049	1498543129-1498546858	1-160
297562-297562	10021	1498546858-1498549585	161-277
297562-297562	7191	1498549585-1498551612	278-364
297563-297563	10035	1498551800-1498554736	1-126
297563-297563	10014	1498554736-1498557906	127-262
297563-297563	141	1498557907-1498557952	263-264
297599-297599	10067	1498575984-1498578128	1-92
297599-297599	10058	1498578128-1498581135	93-221
297599-297599	10011	1498581135-1498583466	222-321
297599-297599	8022	1498583466-1498585352	322-402
297603-297603	10098	1498585941-1498588085	1-92
297603-297603	10019	1498588085-1498590346	93-189
297603-297603	10041	1498590347-1498592631	190-287
297603-297603	10048	1498592631-1498595032	288-390
297603-297603	2586	1498595032-1498595669	391-418
297604-297604	10085	1498596272-1498598788	1-108
297604-297604	10078	1498598789-1498601516	109-225
297604-297604	10019	1498601517-1498604360	226-347
297604-297604	4273	1498604360-1498605666	348-404
297605-297605	10036	1498605762-1498608907	1-135
297605-297605	10002	1498608910-1498612615	136-294
297605-297605	8151	1498612615-1498615171	295-404
297606-297606	10078	1498615808-1498619233	1-147
297606-297606	5877	1498619233-1498621191	148-231
297620-297620	10001	1498644618-1498646752	34-125
297620-297620	10085	1498646752-1498648733	126-210
297620-297620	10104	1498648734-1498650738	211-296
297620-297620	2579	1498650739-1498651251	297-318
297656-297656	10117	1498671592-1498673759	64-156
297656-297656	10046	1498673759-1498676579	157-277
297656-297656	10091	1498676580-1498678958	278-379
297656-297656	5335	1498678958-1498680125	380-430
297665-297665	10055	1498697218-1498699641	1-104
297665-297665	10028	1498699642-1498702416	105-223
297665-297665	4602	1498702416-1498703636	224-276
297666-297666	9814	1498704144-1498706964	1-121
297670-297670	850	1498717592-1498717745	21-27
297674-297674	10014	1498720558-1498722632	3-91
297674-297674	9801	1498722632-1498724752	92-182
297675-297675	10106	1498725418-1498727468	1-88
297675-297675	10002	1498727468-1498729659	89-182
297675-297675	10021	1498729660-1498731920	183-279
297675-297675	10084	1498731921-1498734205	280-377
