296168-296168	305	1496697781-1496698112	39-53
296172-296174	12205	1496711528-1496731239	80-41
296880-296881	98	1497483022-1497484214	1-7
296887-296889	8007	1497500670-1497515437	28-24
296897-296900	3271	1497519076-1497522750	3-14
296966-296980	59162	1497567266-1497608935	22-143
297003-297004	2888	1497618597-1497620365	5-5
297050-297050	32530	1497646543-1497664375	12-776
297056-297057	47023	1497675705-1497701434	14-906
297099-297101	79851	1497727811-1497758989	40-920
297113-297114	31049	1497789820-1497799416	2-161
297175-297176	21472	1497899081-1497905987	1-210
297178-297178	70895	1497910146-1497942245	1-1378
297215-297227	170269	1497966781-1498040171	1-192
297292-297308	115024	1498099349-1498134230	1-44
297359-297359	4029	1498188638-1498191668	51-180
297411-297411	81550	1498224978-1498246342	34-950
297424-297435	125624	1498264989-1498299730	33-94
297467-297469	26745	1498333697-1498339754	50-70
297483-297488	206045	1498369071-1498428107	40-424
297503-297505	114904	1498442545-1498473570	5-394
297557-297558	65295	1498519281-1498534505	10-263
297562-297563	47451	1498543129-1498557952	1-264
297599-297606	159549	1498575984-1498621191	1-231
297620-297620	32769	1498644618-1498651251	34-318
297656-297656	35589	1498671592-1498680125	64-430
297665-297666	34499	1498697218-1498706964	1-121
297670-297675	69905	1498717592-1498736246	21-465
297722-297723	54930	1498768822-1498782517	55-222
298996-299000	14776	1500017920-1500025782	39-77
299042-299042	834	1500063230-1500063645	38-55
299061-299067	119031	1500080597-1500117072	44-459
299096-299096	10278	1500132437-1500134670	2-97
299149-299149	45850	1500169403-1500179542	36-470
299178-299185	78405	1500208035-1500228770	43-120
299327-299329	23439	1500364388-1500370314	1-172
299368-299370	109266	1500394290-1500423184	42-705
299380-299381	28194	1500431813-1500437890	37-45
299394-299396	25104	1500449437-1500456392	5-81
299420-299420	5323	1500465889-1500466979	4-50
299443-299443	2380	1500510773-1500511238	145-164
299450-299450	5399	1500525562-1500526586	45-88
299477-299481	195128	1500554670-1500609818	39-1257
299593-299597	161310	1500661423-1500704103	95-540
299649-299649	24053	1500863900-1500868142	151-332
300087-300087	5806	1501309546-1501313937	41-230
300105-300107	15549	1501330491-1501334175	1-47
300117-300117	2725	1501346886-1501347512	41-67
300122-300123	181661	1501364798-1501408316	46-603
300155-300157	208711	1501440637-1501496500	37-1107
300226-300226	50242	1501520724-1501530055	48-448
300233-300240	192969	1501539043-1501590535	49-356
300280-300284	140208	1501649339-1501687643	55-751
300364-300375	21446	1501762516-1501770861	30-93
300389-300401	153560	1501786122-1501827444	1-673
300459-300467	189338	1501849064-1501899512	43-563
